T,ave_qc,ave_qd,ave_xc,ave_xd,ave_fp
0,0.13877549767494202,0.9183672070503235,0.1753614842891693,0.8246384859085083,0.4999999403953552
1,0.1387755274772644,0.737560510635376,0.23424112796783447,0.7657588720321655,0.1753615289926529
2,0.13877548277378082,0.582267165184021,0.2946389317512512,0.7053610682487488,0.1126890704035759
3,0.1387755125761032,0.5248154401779175,0.31759893894195557,0.6824010610580444,0.12853503227233887
4,0.1387755572795868,0.5070903897285461,0.32479405403137207,0.6752059459686279,0.15466012060642242
5,0.1387755274772644,0.5018143057823181,0.3269653022289276,0.67303466796875,0.17295335233211517
6,0.1387755572795868,0.5004754066467285,0.327522873878479,0.672477126121521,0.18328185379505157
7,0.13877557218074799,0.5001277327537537,0.32766953110694885,0.6723304986953735,0.18850325047969818
8,0.1387755423784256,0.5000349879264832,0.3277088403701782,0.6722911596298218,0.1910080760717392
9,0.1387755423784256,0.5000098943710327,0.32771971821784973,0.6722803115844727,0.192177876830101
10,0.13877549767494202,0.5000027418136597,0.3277227282524109,0.6722772717475891,0.19271628558635712
